0,1,2
9606.ensp00000275493,cetuximab,Prot einDrug
9606.ensp00000433642,cetuximab,ProteinDrug
9606.ensp00000438615,cetuximab,ProteinDrug
9606.ensp00000363773,cetuximab,ProteinDrug
9606.ensp00000313967,cetuximab,ProteinDrug
9606.ensp00000363770,cetuximab,ProteinDrug
9606.ensp00000356946,cetuximab,ProteinDrug
9606.ensp00000385035,cetuximab,ProteinDrug
9606.ensp00000358165,cetuximab,ProteinDrug
9606.ensp00000271450,cetuximab,ProteinDrug
9606.ensp00000351497,cetuximab,ProteinDrug
9606.ensp00000359663,etanercept,ProteinDrug
9606.ensp00000358165,etanercept,ProteinDrug
9606.ensp00000356946,etanercept,ProteinDrug
9606.ensp00000271450,etanercept,ProteinDrug
9606.ensp00000351497,etanercept,ProteinDrug
9606.ensp00000433642,etanercept,ProteinDrug
9606.ensp00000385035,etanercept,ProteinDrug
9606.ensp00000438615,etanercept,ProteinDrug
9606.ensp00000363773,etanercept,ProteinDrug
9606.ensp00000313967,etanercept,ProteinDrug
9606.ensp00000363770,etanercept,ProteinDrug
9606.ensp00000308938,urokinase,ProteinDrug
9606.ensp00000339328,urokinase,ProteinDrug
9606.ensp00000361850,urokinase,ProteinDrug
9606.ensp00000220809,urokinase,ProteinDrug
9606.ensp00000223095,urokinase,ProteinDrug
9606.ensp00000364709,"antihemophilic factor, human recombinant",ProteinDrug
9606.ensp00000218099,"antihemophilic factor, human recombinant",ProteinDrug
9606.ensp00000261405,"antihemophilic factor, human recombinant",ProteinDrug
9606.ensp00000320866,"antihemophilic factor, human recombinant",ProteinDrug
9606.ensp00000247461,"antihemophilic factor, human recombinant",ProteinDrug
9606.ensp00000243077,"antihemophilic factor, human recombinant",ProteinDrug
9606.ensp00000358165,immune globulin human,ProteinDrug
9606.ensp00000271450,immune globulin human,ProteinDrug
9606.ensp00000351497,immune globulin human,ProteinDrug
9606.ensp00000356946,immune globulin human,ProteinDrug
9606.ensp00000433642,immune globulin human,ProteinDrug
9606.ensp00000245907,immune globulin human,ProteinDrug
9606.ensp00000223642,immune globulin human,ProteinDrug
9606.ensp00000303830,insulin human,ProteinDrug
9606.ensp00000268035,insulin human,ProteinDrug
9606.ensp00000308938,tenecteplase,ProteinDrug
9606.ensp00000306361,tenecteplase,ProteinDrug
9606.ensp00000339328,tenecteplase,ProteinDrug
9606.ensp00000223095,tenecteplase,ProteinDrug
9606.ensp00000320866,tenecteplase,ProteinDrug
9606.ensp00000247461,tenecteplase,ProteinDrug
9606.ensp00000243077,tenecteplase,ProteinDrug
9606.ensp00000364709,coagulation factor viia recombinant human,ProteinDrug
9606.ensp00000364731,coagulation factor viia recombinant human,ProteinDrug
