0,1,2
9606.ENSP00000308541,Lepirudin,ProteinDrug
9606.ENSP00000275493,Cetuximab,ProteinDrug
9606.ENSP00000433642,Cetuximab,ProteinDrug
9606.ENSP00000363773,Cetuximab,ProteinDrug
9606.ENSP00000313967,Cetuximab,ProteinDrug
9606.ENSP00000363770,Cetuximab,ProteinDrug
9606.ENSP00000356946,Cetuximab,ProteinDrug
9606.ENSP00000358165,Cetuximab,ProteinDrug
9606.ENSP00000271450,Cetuximab,ProteinDrug
9606.ENSP00000369293,Denileukin diftitox,ProteinDrug
9606.ENSP00000216223,Denileukin diftitox,ProteinDrug
9606.ENSP00000398698,Etanercept,ProteinDrug
9606.ENSP00000403495,Etanercept,ProteinDrug
9606.ENSP00000358165,Etanercept,ProteinDrug
9606.ENSP00000271450,Etanercept,ProteinDrug
9606.ENSP00000351497,Etanercept,ProteinDrug
9606.ENSP00000356946,Etanercept,ProteinDrug
9606.ENSP00000433642,Etanercept,ProteinDrug
9606.ENSP00000363773,Etanercept,ProteinDrug
9606.ENSP00000313967,Etanercept,ProteinDrug
9606.ENSP00000363770,Etanercept,ProteinDrug
9606.ENSP00000308541,Bivalirudin,ProteinDrug
9606.ENSP00000226413,Leuprolide,ProteinDrug
9606.ENSP00000276414,Leuprolide,ProteinDrug
9606.ENSP00000343957,Peginterferon alfa-2a,ProteinDrug
9606.ENSP00000270139,Peginterferon alfa-2a,ProteinDrug
9606.ENSP00000308938,Alteplase,ProteinDrug
9606.ENSP00000498441,Alteplase,ProteinDrug
9606.ENSP00000336829,Alteplase,ProteinDrug
9606.ENSP00000223095,Alteplase,ProteinDrug
9606.ENSP00000270139,Interferon alfa-n1,ProteinDrug
9606.ENSP00000343957,Interferon alfa-n1,ProteinDrug
9606.ENSP00000222139,Darbepoetin alfa,ProteinDrug
9606.ENSP00000308938,Urokinase,ProteinDrug
9606.ENSP00000339328,Urokinase,ProteinDrug
9606.ENSP00000223095,Urokinase,ProteinDrug
9606.ENSP00000401645,Urokinase,ProteinDrug
9606.ENSP00000333203,Urokinase,ProteinDrug
9606.ENSP00000496870,Urokinase,ProteinDrug
9606.ENSP00000278742,Urokinase,ProteinDrug
9606.ENSP00000264187,Urokinase,ProteinDrug
9606.ENSP00000294954,Goserelin,ProteinDrug
9606.ENSP00000276414,Goserelin,ProteinDrug
9606.ENSP00000226413,Goserelin,ProteinDrug
9606.ENSP00000308938,Reteplase,ProteinDrug
9606.ENSP00000498441,Reteplase,ProteinDrug
9606.ENSP00000223095,Reteplase,ProteinDrug
9606.ENSP00000222139,Erythropoietin,ProteinDrug
9606.ENSP00000352561,Salmon calcitonin,ProteinDrug
9606.ENSP00000270139,Interferon alfa-n3,ProteinDrug
9606.ENSP00000343957,Interferon alfa-n3,ProteinDrug
9606.ENSP00000362195,Pegfilgrastim,ProteinDrug
9606.ENSP00000394227,Sargramostim,ProteinDrug
9606.ENSP00000327890,Sargramostim,ProteinDrug
9606.ENSP00000384053,Sargramostim,ProteinDrug
9606.ENSP00000312134,Sargramostim,ProteinDrug
9606.ENSP00000270139,Peginterferon alfa-2b,ProteinDrug
9606.ENSP00000343957,Peginterferon alfa-2b,ProteinDrug
9606.ENSP00000441235,Thyrotropin alfa,ProteinDrug
9606.ENSP00000364709,"Antihemophilic factor, human recombinant",ProteinDrug
9606.ENSP00000218099,"Antihemophilic factor, human recombinant",ProteinDrug
9606.ENSP00000261405,"Antihemophilic factor, human recombinant",ProteinDrug
9606.ENSP00000263038,"Antihemophilic factor, human recombinant",ProteinDrug
9606.ENSP00000347140,"Antihemophilic factor, human recombinant",ProteinDrug
