0,1,2
890,514,1
513,797,1
1039,811,1
652,785,1
1273,1274,1
1125,998,1
791,962,1
1555,1557,1
652,569,1
872,767,1
476,721,1
1409,1216,1
1100,767,1
150,329,1
785,514,1
890,476,1
480,627,1
858,514,1
1433,443,1
1371,1373,1
652,1205,1
514,797,1
475,924,1
763,1052,1
1268,1266,1
785,721,1
1287,767,1
1100,1287,1
637,633,1
858,721,1
1071,874,1
1125,683,1
1287,872,1
652,1095,1
1125,1557,1
827,329,1
785,476,1
858,513,1
763,68,1
1106,630,1
1273,803,1
1274,803,1
1205,785,1
740,476,1
150,475,1
808,514,1
808,721,1
476,808,1
530,311,1
683,1555,1
126,1409,1
1100,429,1
541,540,1
1574,1151,1
1074,1125,1
1487,1486,1
652,627,1
246,1039,1
1125,407,1
1326,1399,1
126,1216,1
819,850,1
535,536,1
216,217,1
618,495,1
513,808,1
858,476,1
650,638,1
785,513,1
962,1132,1
802,855,1
792,1059,1
429,1287,1
392,1032,1
1605,778,1
394,1127,1
207,1023,1
1595,1044,1
1234,1233,1
971,1041,1
263,87,1
423,768,1
289,1071,1
515,25,1
87,1023,1
466,1232,1
798,890,1
466,87,1
466,214,1
947,1066,1
47,1558,1
383,384,1
851,1212,1
967,392,1
1362,25,1
1572,217,1
775,1232,1
88,217,1
1177,363,1
263,307,1
472,340,1
967,1032,1
515,26,1
384,1083,1
959,1042,1
1472,1232,1
788,890,1
971,309,1
872,1114,1
34,1071,1
289,1412,1
763,1232,1
891,26,1
476,627,1
874,1016,1
87,1232,1
997,1060,1
263,264,1
947,1010,1
763,1056,1
963,1232,1
383,567,1
741,856,1
1433,1326,1
874,1212,1
543,541,1
992,872,1
392,1232,1
88,263,1
1203,1026,1
213,216,1
907,901,1
88,466,1
1106,653,1
1106,981,1
1324,1170,1
384,1015,1
671,1433,1
542,541,1
420,31,1
1066,1010,1
27,299,1
541,544,1
0,1212,1
414,791,1
892,817,1
971,817,1
971,892,1
392,1056,1
909,1132,1
540,544,1
88,87,1
88,1035,1
1472,1127,1
341,340,1
1022,901,1
981,630,1
478,434,1
25,891,1
1022,1125,1
969,1260,1
25,26,1
543,540,1
88,277,1
497,521,1
627,721,1
476,653,1
1022,407,1
1267,1471,1
542,544,1
369,962,1
1018,371,1
539,496,1
115,129,1
630,653,1
580,582,1
915,921,1
1125,901,1
579,565,1
579,581,1
579,526,1
580,581,1
565,581,1
1125,962,1
150,1052,1
0,1261,1
1449,1433,1
827,1052,1
582,565,1
827,68,1
1337,1336,1
1200,476,1
973,356,1
526,582,1
37,27,1
580,526,1
579,582,1
150,68,1
582,581,1
1574,1034,1
526,581,1
856,25,1
579,580,1
1200,514,1
567,873,1
580,565,1
1200,808,1
414,1125,1
526,565,1
20,355,1
1200,797,1
393,1127,1
329,1083,1
214,217,1
965,846,1
36,37,1
261,466,1
994,1127,1
534,466,1
843,1232,1
785,653,1
543,544,1
1454,496,1
1038,893,1
873,1012,1
287,260,1
784,514,1
965,1053,1
246,1127,1
962,392,1
1466,1491,1
84,1035,1
215,533,1
37,145,1
414,962,1
644,554,1
246,994,1
85,466,1
893,1631,1
261,263,1
466,262,1
460,297,1
1525,37,1
971,930,1
791,1132,1
314,1393,1
84,466,1
567,1012,1
85,88,1
